Position,Group_1,Group_2,Group_All
-2995.0,-7.50610610315538e-05,0.0015367177109197655,0.0007312314712102267
-2985.0,-0.00022561949850465578,0.001120236133547587,0.0004476449497455908
-2975.0,-0.000353554754441178,0.0003488096199849679,-2.1968882950319824e-06
-2965.0,-0.00011804316825735303,0.00012884049287458765,5.460414099795888e-06
-2955.0,-0.000228877395451886,0.0004032263879475067,8.73326012461594e-05
-2945.0,-0.0005671227927328678,0.0014059698190307245,0.00041991703306182564
-2935.0,-0.0004675788128086286,0.0014712373921036488,0.0005023142361720004
-2925.0,-0.0005165277510134805,0.0014766437283891718,0.00048055653082876683
-2915.0,-0.0008530620232662799,0.0015777909127791645,0.000362972461999075
-2905.0,-0.0006069431496617217,0.0009432466852420476,0.00016853950911955353
-2895.0,-0.0004988565374778309,2.8692919876630186e-05,-0.00023494985545959122
-2885.0,-0.0006666837892119367,-0.0002147958086048675,-0.0004406267703989957
-2875.0,-0.0007538351454563375,4.217899388004298e-05,-0.00035562897270177
-2865.0,-0.00043761313909426616,-0.00033352825355850653,-0.00038554466208788314
-2855.0,-6.976403167102292e-05,4.842014453006413e-05,-1.0642382746016886e-05
-2845.0,0.00038592785891064974,-0.0003096649732086007,3.7957457650394383e-05
-2835.0,0.0004630910456746626,-0.00043355410737858617,1.4544195723062401e-05
-2825.0,0.0003628699719017065,-0.000533599652023986,-8.558906958188154e-05
-2815.0,0.0002993530271587324,-0.0007702439947708627,-0.00023571301682805853
-2805.0,0.000283256324245803,-0.0002735969515895704,4.690403367677264e-06
-2795.0,0.0002985451869634588,-0.0003016350946759303,-1.6950739867108173e-06
-2785.0,0.00014837391493923344,-0.00040982729643783384,-0.00013086631086220093
-2775.0,-1.0020625498740132e-05,-0.00035884762777914147,-0.00018452137701469877
-2765.0,0.00022263468305788443,-9.21538662229068e-05,6.516167191191583e-05
-2755.0,-0.00032379023456584533,-0.0004074417680340048,-0.0003656369246449646
