Position,Group_1,Group_2,Group_All
-2995.0,-0.0013329005090934214,-0.005566186431520146,-0.0034506023212128433
-2985.0,-0.0014441500366493521,-0.005910986803104424,-0.0036786856877024147
-2975.0,-0.0017083555925735353,-0.006458434150505309,-0.004084582985235753
-2965.0,-0.0011016341313651455,-0.006385173743469295,-0.003744725483093084
-2955.0,-0.0014465714670212025,-0.006090730923358115,-0.00376981281586408
-2945.0,-0.001675162767927535,-0.005947169372151256,-0.0038122346059584113
-2935.0,-0.0017069701174794634,-0.006198144402128673,-0.003953680615052855
-2925.0,-0.0014399556495097547,-0.0057429175207355,-0.0035925128637297374
-2915.0,-0.001656904844059465,-0.005637922533859546,-0.0036484094412581047
-2905.0,-0.0016734124711133558,-0.005123034270522475,-0.0033990862076862024
-2895.0,-0.001597635763050243,-0.005286071724300564,-0.003442776313950854
-2885.0,-0.0015233459021905978,-0.00521169548465623,-0.003368443242093365
-2875.0,-0.0020597179553529256,-0.004984181657531008,-0.003522681288108344
-2865.0,-0.0022434305703448467,-0.0048870379435378706,-0.003565895489400887
-2855.0,-0.002010498887035625,-0.00478540539286405,-0.0033986462136131263
-2845.0,-0.0019967026115058264,-0.004941822817073262,-0.0034699993626651237
-2835.0,-0.0021588204473640482,-0.004781658653947671,-0.0034708955882262905
-2825.0,-0.001931711098151501,-0.0051286054991622225,-0.0035309579220688205
-2815.0,-0.002023857166415684,-0.005515338077443448,-0.0037704709288107637
-2805.0,-0.001853084177154623,-0.006256850216854218,-0.004056068689260474
-2795.0,-0.0016980800258262116,-0.006093774160028988,-0.0038970265661977858
-2785.0,-0.0014935394790239382,-0.0058837814413134765,-0.0036897585697140524
-2775.0,-0.0012445778927554399,-0.005804023804866119,-0.003525441280504654
-2765.0,-0.0010900642451344977,-0.00561013784448769,-0.003351231628502778
-2755.0,-0.0010962071411157995,-0.005680847464633189,-0.0033896740363220973
-2745.0,-0.0011594298648872012,-0.005932553220939008,-0.0035471854206910063
-2735.0,-0.0010593701762830663,-0.00588674903623978,-0.003474267054700632
-2725.0,-0.0013941531934987806,-0.005719470544687829,-0.0035578937393662383
-2715.0,-0.0013846319285364787,-0.005739373835212973,-0.003563092111966441
-2705.0,-0.0012791706613449684,-0.0054563061327189645,-0.0033687832033029454
-2695.0,-0.0012905900021939977,-0.0055565505506114275,-0.0034246373000516414
-2685.0,-0.001251718938922297,-0.005407691618741955,-0.0033307447917585446
-2675.0,-0.000980186821601996,-0.005169147695832362,-0.003075715022817787
-2665.0,-0.0011781458453018108,-0.005227802426226117,-0.0032039870563694978
-2655.0,-0.0018294379745463708,-0.005496717206019093,-0.0036639948687298236
-2645.0,-0.002453515611167867,-0.005352672891759721,-0.00390381940335989
-2635.0,-0.002727513187077515,-0.005685639000109223,-0.004207315994997328
-2625.0,-0.0033356888366966727,-0.00590870968572417,-0.004622842838211179
-2615.0,-0.0033268289866672266,-0.00544714990887951,-0.004387519793176623
-2605.0,-0.003256848491452963,-0.00538550707224058,-0.004321710212707399
-2595.0,-0.0027652512566639638,-0.005589188030329023,-0.004177925980858591
-2585.0,-0.003008108780433305,-0.005594721058995492,-0.004302061896272318
-2575.0,-0.002760950543225946,-0.005847972141169157,-0.004305233483667773
-2565.0,-0.002755810952761671,-0.006187744930628105,-0.004472636354395705
-2555.0,-0.0027719566616917486,-0.006434297141807474,-0.004604042944891211
-2545.0,-0.002583060138851863,-0.006215449561595233,-0.00440016340185505
-2535.0,-0.002197956549148453,-0.005860338398374915,-0.004030063527250736
-2525.0,-0.002070605824690927,-0.0056478062901993325,-0.003860100804935252
-2515.0,-0.0024271791685599306,-0.005873414068628517,-0.004151158608314101
-2505.0,-0.002159891191082102,-0.005568156357699081,-0.003864876266928515
-2495.0,-0.0020587717907092355,-0.005526829494886465,-0.0037936680909479697
-2485.0,-0.0022358102067437493,-0.006022044183065145,-0.004129874226914533
-2475.0,-0.002195809027211175,-0.006409938194639608,-0.004303927670246909
-2465.0,-0.002326272174688021,-0.006048487035752032,-0.004188310624444905
-2455.0,-0.002512927393524193,-0.0059563071473342916,-0.004235478546005483
-2445.0,-0.002826246783780408,-0.006283668391287688,-0.004555822375329823
-2435.0,-0.0031646924099903743,-0.005983637296872621,-0.004574869942197601
-2425.0,-0.0031940375498821583,-0.005342075647323509,-0.004268593876766275
-2415.0,-0.0030319422393073306,-0.005222826263128082,-0.004127932246221163
-2405.0,-0.0028638099042122317,-0.005434868204205122,-0.004149982140326735
-2395.0,-0.0030211079763371794,-0.00478629746645579,-0.00390414423952808
-2385.0,-0.0024648229291071057,-0.005080777824875759,-0.0037734546928733155
-2375.0,-0.002332924412770229,-0.005194593803872112,-0.0037644748835565637
-2365.0,-0.0018961893103471004,-0.00526993327460309,-0.0035839051503951196
-2355.0,-0.0014605832318560356,-0.005264750213579964,-0.003363618240222183
-2345.0,-0.0010873802472852769,-0.005591001566432169,-0.0033403173754227916
-2335.0,-0.0010849429244509403,-0.0051736812549967,-0.003130334785654422
