Position,Group_0,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_All
-2995.0,-9.971662284378434e-05,0.00012417508013857213,-0.001769099907527941,-0.0020656626702483527,-0.0017658975294845996,-0.0016887478698631797,-0.0021695049791416662,-0.0023030520975262214,-0.0029205770087808417,-0.003915854755287322,-0.004277727417236058,-0.002196351102252999
-2985.0,-0.0003465681052213706,0.00015586386644162356,-0.0017075731521527713,-0.0019137897991540176,-0.0016065728674258064,-0.0018705022214191352,-0.0025601750899824443,-0.002442735150495798,-0.002789164512275325,-0.003930540757494026,-0.004135377722075237,-0.002210488242853485
-2975.0,-0.0006389835163501658,-0.0003449973055310106,-0.001423151126155148,-0.0019253184120318304,-0.0017664782382963292,-0.0018398005849362368,-0.0026051660351746075,-0.002406325496387756,-0.002836477060556811,-0.0037561776678459494,-0.004189049704418691,-0.002249142126348238
-2965.0,8.78132676492119e-05,-0.00043876882530358293,-0.0012785322614862445,-0.001895053610314689,-0.0016967404163391786,-0.001657983893321946,-0.002761175297093793,-0.002690150331443105,-0.003008311294231719,-0.003785444827972755,-0.004106747309647463,-0.0022433495854610776
-2955.0,0.0002868013038429775,-0.0006422302203448008,-0.001103298708018881,-0.0016143859062762872,-0.001800250269618998,-0.0019111741951830267,-0.002653867059813979,-0.002968287185619071,-0.0031062998933992767,-0.003597848995183544,-0.003804259764710868,-0.0022242715638122524
-2945.0,0.0001367041539746121,-0.0006386572279972718,-0.0011966803656507491,-0.0011647304900204382,-0.001881257844297806,-0.0023284320221204895,-0.0026898953719212866,-0.002846030348508807,-0.003154691400723508,-0.003413432921986763,-0.003730094334452443,-0.00221469764786286
-2935.0,0.00010326650500081135,-0.0007751285883607263,-0.001384381828551796,-0.001305293037386797,-0.0020404526146997823,-0.002448760805309754,-0.0025642177699713403,-0.0028710357608957193,-0.0031431886006464153,-0.0033845830200786332,-0.00376890849901931,-0.0022775817203688105
-2925.0,0.0003400275827770444,-0.0006329315813324312,-0.0015094267210218183,-0.0015220817537463527,-0.0020427862804462894,-0.002838936264055961,-0.0024256556042188864,-0.0031197381079776966,-0.003278401909310424,-0.003468032434080464,-0.003888366508428867,-0.002369059850059383
-2915.0,0.0003647679774504546,-0.0008728953757883672,-0.0015921946286833798,-0.001480437268539382,-0.0017375752724102145,-0.0029989505433810544,-0.0024321003965116143,-0.003122092614740921,-0.0035080543889057444,-0.003279967495804252,-0.0043570500314227805,-0.0024310359286261523
-2905.0,0.0004049516095750609,-0.0009193915771211241,-0.0017385478922321608,-0.0014909502216037213,-0.0017467565511290958,-0.00327872272272255,-0.002768155420338201,-0.0027007251690574596,-0.0035960695298205988,-0.003621487134371384,-0.00453476741406363,-0.002527270987204227
-2895.0,0.0005493969652042426,-0.0008979514738300245,-0.0014632766555366836,-0.0017882720585562935,-0.0016425488073603513,-0.0034955047333068896,-0.0028088230834090685,-0.002751928154909082,-0.0035877640635420954,-0.0038392313352701864,-0.004446006133307283,-0.002553360092574782
-2885.0,0.0010154871595737893,-0.000777929298390257,-0.0011010186285335187,-0.0018478608391111282,-0.0015229293917271725,-0.0036561817697707936,-0.002542195996659497,-0.0027851860110425643,-0.0037902983911397153,-0.0036879856675323106,-0.004448262052549703,-0.002481892917743968
-2875.0,0.0015586189787334427,-0.0006564931191650483,-0.0008833127002523526,-0.0018578505823664282,-0.001728529348693316,-0.0035361917678238355,-0.0023775667181364555,-0.00254497670711954,-0.003803555822067408,-0.0036010983437939756,-0.004385380689157612,-0.0023858678948510833
-2865.0,0.0016314379351128497,-0.00048280475688516813,-0.0007683089485889892,-0.0017738799776476797,-0.002063990691850584,-0.0034863038364549687,-0.002310114685354272,-0.0025011953530839942,-0.0035406237551146662,-0.003880018627380228,-0.004039308582755421,-0.002332336945518925
-2855.0,0.0015276185066317254,-0.0001880222225681302,-0.0005113110362624858,-0.001928658584206178,-0.001968218990889163,-0.003140977081538889,-0.002144702414695584,-0.0028191376819125626,-0.0033184154508572425,-0.003793693994504664,-0.003932529407443379,-0.0022305601041950184
-2845.0,0.0014164621391878126,-0.0002301369648906905,-0.00041343350747705777,-0.0019322806115917401,-0.0019247374534531834,-0.002783549619200184,-0.0018322457890165194,-0.0030700338718260087,-0.0032339372505776048,-0.0035413727584366513,-0.004268781387388116,-0.002185047029876428
-2835.0,0.0016607712391830199,-0.00025915245876932316,-0.00036056231621002174,-0.0017215026081780667,-0.0017650887590320268,-0.002499299999891651,-0.0018318871780297452,-0.0029268584167141207,-0.0031775989063539223,-0.0034052757186397273,-0.00445098781558463,-0.0020956077000487965
-2825.0,0.0015423841868196127,2.883604827854867e-05,-0.00039337289797673156,-0.0018155520215968743,-0.0015975405875132487,-0.002274183958194635,-0.0022182580189136158,-0.0030353475941657343,-0.0032708877562132197,-0.0035908630473857283,-0.004618967843453898,-0.0021378852769283617
-2815.0,0.0017348807950482526,-0.000101937166653359,-0.0003347692436089954,-0.001719805094396694,-0.0018594571998080621,-0.0019452460977213003,-0.0026041163419927103,-0.0029497858239480902,-0.0031977419092019174,-0.0035135726559515526,-0.004546664628997343,-0.0021291443797464174
-2805.0,0.0017967039463961268,-0.0005168283069213272,-0.0005634751836264407,-0.0014704144255999212,-0.002283229792022091,-0.0016981353391448848,-0.0028850211680860843,-0.0026998560237252393,-0.0032939129113122236,-0.0033315924978517945,-0.00461847594222957,-0.002182789081034833
-2795.0,0.0018006116269560393,-0.0007532826407686568,-0.000747686058540652,-0.0013289661473154652,-0.0023491217819607084,-0.001362092452210566,-0.0031627709673822,-0.0022462089070485474,-0.0036230353320463324,-0.0036772032806808475,-0.004486131986102958,-0.002218488993486358
-2785.0,0.0010570047199138385,-0.000762907381259865,-0.0011815183970611542,-0.0016797317219828304,-0.0026875869706045113,-0.0012734156261419872,-0.0035329465128685284,-0.002168549384544763,-0.0037919421236649606,-0.003981474295999889,-0.0046881012405885865,-0.002440322609651849
-2775.0,0.0003555368059106771,-0.0011033654709412394,-0.001247352804597344,-0.0014504110805757865,-0.0026870163642533636,-0.0014905183377945498,-0.0035166627380578018,-0.002096648002151388,-0.003825188119098606,-0.004001077766241578,-0.00480751735621207,-0.002512450207163733
-2765.0,-0.0004253635107577175,-0.0010632204928265004,-0.0012949813594601745,-0.0014881912292361876,-0.0026178644626852514,-0.0018230021239944662,-0.003430155877382179,-0.0023937421578725305,-0.003579522073842632,-0.004080775263004543,-0.0047903416210066975,-0.00257441671556535
-2755.0,-0.0006378830655638022,-0.0007444060888069482,-0.0011641654666463758,-0.0012377547777797126,-0.0024239504818865183,-0.00202691182950389,-0.00318905314007881,-0.002613961055459142,-0.0039824055221598835,-0.003912075515190273,-0.004719695926332997,-0.0025301275792235173
-2745.0,-0.0007106072766640228,-0.0005156945146480379,-0.0010480705605979011,-0.0008367771376088742,-0.002459026556187173,-0.0022269542180678734,-0.002629542637515176,-0.002752959294770454,-0.0041018749811347,-0.0039185042384886895,-0.0046571408827586125,-0.0024494891531513323
-2735.0,-0.0007994229988367635,-0.0005318801262701894,-0.0009044251548032366,-0.0009086362894589633,-0.0028539830458071663,-0.002346802248296105,-0.002227759395675854,-0.0026312891133363427,-0.003957990390202428,-0.0038171260558283594,-0.0042347510392431115,-0.00238219005812007
-2725.0,-0.0005429332283958697,-0.0006349513382730393,-0.0009697199860429555,-0.0008783764697759237,-0.0027853125329890165,-0.0020866595379113034,-0.0022561559759462285,-0.0026872050811934233,-0.003915477149722051,-0.0038457806968345476,-0.004032588053999046,-0.0023412492031517395
-2715.0,-0.0001731390290171786,-0.000523642209128766,-0.0011690099180886298,-0.0010448010628783375,-0.0027048997288793477,-0.001777948303685419,-0.0024911298260522035,-0.00265432274024059,-0.004219673479870557,-0.003795892255480649,-0.003909361486783291,-0.002346478137416234
-2705.0,-1.8206214081505935e-06,-0.00038867873996543755,-0.0011512215885665625,-0.0012929168424750817,-0.0026113995874853025,-0.001915127910827073,-0.0024913790387723926,-0.0025132114599060317,-0.003966403064843944,-0.004091064817749105,-0.0037268109503088517,-0.002326496193286362
-2695.0,0.0005576547944492144,-0.00013747204128972267,-0.0009408038696986697,-0.001583371822290041,-0.002515290435875292,-0.0020145112360392507,-0.0027392961404043145,-0.00265124661464948,-0.0036305548456676607,-0.004009373187976865,-0.0034433981307221578,-0.0022592119992897682
-2685.0,0.0010227282319930698,-0.00010674635502985157,-0.0007372556362697429,-0.0012112379358707151,-0.002076294030927551,-0.0020094256811967436,-0.0028922019837418155,-0.003002512624737262,-0.003555933562364503,-0.004420741505727913,-0.0032290067902553342,-0.0022009416808432786
-2675.0,0.0016204582970702776,-7.999643954002089e-05,-0.0005991556518185944,-0.0013780435964117735,-0.0023342982235010578,-0.0024741652398577044,-0.0026049954387990172,-0.002981799386843664,-0.0036859772541456767,-0.004488092883526704,-0.003334998974378147,-0.0022477928471801123
-2665.0,0.0018201333413153265,-0.00019654327245308958,-0.0007746046278760344,-0.0014496348897643327,-0.0022489888651211314,-0.002924960206715045,-0.002098326628945527,-0.0031255602846700955,-0.0037343356272701023,-0.00457760434409429,-0.0033613860068395034,-0.0022911779450677217
-2655.0,0.002266214490647389,-0.0004280358795096919,-0.0010039480166336627,-0.0015891763735852334,-0.002213181478379854,-0.0029497336589997193,-0.001985022273962917,-0.003215744187360675,-0.0038589675119353466,-0.004445697182743576,-0.003794346434931484,-0.002369581760502961
-2645.0,0.0020492152590616585,-0.0007086077420257988,-0.0014653466381692553,-0.0017341947982249038,-0.002475016725328353,-0.002804338067876111,-0.002271402567322295,-0.003276102540844643,-0.0041459043053471405,-0.004341392708639267,-0.003880225924670736,-0.0025332498868821975
-2635.0,0.0023027555072972876,-0.0009371736742467152,-0.0019103902007133874,-0.0018353539632977999,-0.002589002683191647,-0.002766114491295989,-0.002273000252951271,-0.002972007408055731,-0.004155321026712204,-0.004056914409725383,-0.003985369816295316,-0.002559687715811425
-2625.0,0.002308944844109739,-0.0011464576410588605,-0.0018006881304533013,-0.0018141610182200328,-0.0029606815449522953,-0.002734319282575449,-0.0024193508629878503,-0.0032151983532986233,-0.004097331019169678,-0.00409062816686109,-0.003738162880591226,-0.0026107975654494063
-2615.0,0.0021974960742483824,-0.0013117905957647604,-0.0017703119537741101,-0.0017075189166569874,-0.0032041740914605533,-0.00290130067295835,-0.0023893295913752417,-0.0033177315742388847,-0.003975087930339526,-0.004009690472541008,-0.0038562033866070765,-0.002655837767794985
-2605.0,0.0020534992848860547,-0.0013814841925451696,-0.001647888182063017,-0.001528132374880998,-0.00331610010832622,-0.003098570596818726,-0.0023657818315613107,-0.003399603873518977,-0.0037713397342517842,-0.0038783128961167312,-0.0036709601748290354,-0.002624090266100216
-2595.0,0.0019666425334973958,-0.001483187799084031,-0.0014452332009594882,-0.0016619384768607668,-0.003368481115158636,-0.0031855741861625078,-0.0025305775613157435,-0.003429336293080986,-0.0036823519213429893,-0.003934935052436947,-0.003756371267797937,-0.0026677867067746728
-2585.0,0.001570954352820621,-0.0012264323761368228,-0.0011618003011245187,-0.001757277300085778,-0.0034098681405963435,-0.0030428134618723872,-0.0028094547104362028,-0.003666733293290963,-0.003854491687562643,-0.004130074288820402,-0.003921200822533449,-0.0027315468174533785
-2575.0,0.0015835394699155463,-0.001070216207065054,-0.0012593055619027583,-0.00165361114293994,-0.0030882089427521787,-0.0027728912781992683,-0.0028081596708657763,-0.0038341371139234987,-0.003916320209023369,-0.0037441258583355026,-0.003983944489826573,-0.002649422686801583
-2565.0,0.0019372334459766007,-0.001099746333049385,-0.0013376030256888314,-0.0017993729748510471,-0.003100508678632685,-0.0023123623337316115,-0.0030362657433359937,-0.0036364652098166425,-0.004249070687669678,-0.003673168885068389,-0.004276796471507178,-0.002673632416416913
-2555.0,0.0018601368394544778,-0.0010124324548851005,-0.001280546643363083,-0.0022277843732567628,-0.0031492731707581925,-0.0022524724396047364,-0.003149418874608966,-0.00329522470383099,-0.00415133195133283,-0.003876344790496579,-0.004645412469449196,-0.002726751508075531
-2545.0,0.002093633409733078,-0.0008422085302612841,-0.0011392568299168117,-0.002367748296642985,-0.0031101455367753966,-0.0024283502571564755,-0.002960604033525384,-0.0033987448407425186,-0.0040526806914741665,-0.0037774619279836,-0.004818339720386746,-0.0027042502551362
-2535.0,0.0024743672346611532,-0.0007726408745643088,-0.0011329894935116962,-0.0024072824045142716,-0.0032453607650343203,-0.0022536299916879362,-0.0027950365289140505,-0.0034854595990888256,-0.003959817789742841,-0.0035513275348686905,-0.004874129578372269,-0.0026496071863592557
-2525.0,0.0020288576328086278,-0.00035945516267770573,-0.001178522323022226,-0.0022886501806328777,-0.0029428084031595,-0.0020631162823900435,-0.00260225268002609,-0.0031654289664417423,-0.0038950942920144035,-0.0036823548347250136,-0.0049573065302631085,-0.0025376232195065567
-2515.0,0.0016930378301298185,7.913154574387819e-05,-0.0006756127694887287,-0.002254159960221842,-0.0025080833714009407,-0.0021014406236002773,-0.0024556664186258163,-0.0033297778602041374,-0.0038566459665746607,-0.003809708457654163,-0.004844741653727198,-0.0024182547988543177
-2505.0,0.0012537562603969997,0.00021012186100353427,-0.000668639661621864,-0.0018695240324147896,-0.002304398296759779,-0.001605038559280416,-0.00248465565352277,-0.0036729542782584514,-0.003764915433685014,-0.003962156879645216,-0.004644425116121413,-0.002339565254392736
-2495.0,0.001109116007637054,0.00012037608012076719,-0.0008361610826609856,-0.0014556095432790264,-0.0023049327853469684,-0.0012069950484709922,-0.0025364057979243996,-0.003630966892925422,-0.0035482246632737276,-0.004135297948482328,-0.004579443383211659,-0.002281912980601908
-2485.0,0.0012630661027161361,-5.044374499158598e-05,-0.0008125459887605808,-0.0012729808670523684,-0.0021591566822921973,-0.001505032998263135,-0.0025824796540998957,-0.0034952989615138663,-0.0037265876115029567,-0.004191949094991436,-0.004614750281756608,-0.0023046329264069616
-2475.0,0.0010883176141258276,-0.00024549032408677734,-0.0007746090492555474,-0.0013354797553854012,-0.002190516815397836,-0.0016206837242971695,-0.0028865694250490392,-0.0034484573953425975,-0.0037264294596543604,-0.004469343104431098,-0.004617997369843459,-0.0023982059765395593
-2465.0,0.0010698667770107657,-0.0005030601101262036,-0.0009403761695001182,-0.0011893178324169135,-0.002442661122617209,-0.0017171747400039255,-0.003133307414223851,-0.0032877457499381566,-0.00359648679977058,-0.004403862283344355,-0.004371587327945222,-0.0024245128168499325
-2455.0,0.0012945753125739158,-0.0008291371575287404,-0.0009822155814769287,-0.0012775772585403911,-0.0023603997235035453,-0.001710292224931329,-0.003252463946118991,-0.0033843144089689167,-0.003699464130433392,-0.0041492624392515855,-0.004336148268930955,-0.0024537446829230943
-2445.0,0.0012404915816826684,-0.0009807317369429783,-0.000816793374042542,-0.0014777358457597508,-0.0020262950554105845,-0.0019198627077574428,-0.0034232671714101927,-0.0032703500324501172,-0.0038225698387851525,-0.004054606496740247,-0.004691701214278334,-0.0025042395645087255
-2435.0,0.000927112461629083,-0.0010905920000526537,-0.000805788538274039,-0.0016844402670233496,-0.00210862807334497,-0.001925995485590869,-0.003472312674177581,-0.003238506185286959,-0.003484898826835836,-0.004173572648930764,-0.005078361120671206,-0.002571809597210765
