Position,Group_1,Group_2,Group_3,Group_4,Group_All
-2995.0,-0.002258328393230786,-0.002644419811185842,-0.0030500990237294578,-0.0033396688659876887,-0.0028231277224931716
-2985.0,-0.0023787945602029284,-0.00250850769278297,-0.0030846201498843672,-0.003228129441246671,-0.002800013146991368
-2975.0,-0.002437515968944878,-0.0025504524761282613,-0.0030517647635530834,-0.003091996152369437,-0.002782931360237075
-2965.0,-0.002373948908076319,-0.0027289905166068607,-0.002978910602440321,-0.003077743778697149,-0.0027898949979528135
-2955.0,-0.0024016516922675288,-0.0027047227342287786,-0.0029389376497923757,-0.0031708814096463953,-0.002804047412740009
-2945.0,-0.0022422636974333107,-0.002648465651477681,-0.002888067347807841,-0.0032011784722603513,-0.0027449925374484732
-2935.0,-0.0022089470512177745,-0.002706078806612982,-0.0029484754846398472,-0.003290478328090513,-0.0027884928266159632
-2925.0,-0.002268511916543928,-0.002689700897633607,-0.003063719217625764,-0.0033931461304467034,-0.002853768303676909
-2915.0,-0.0024217386365049344,-0.002511488101370124,-0.003143420920011421,-0.003501154159542153,-0.0028944540665825132
-2905.0,-0.00269029571619899,-0.002538676410580498,-0.003156902871942962,-0.003534055389546453,-0.0029799897245248097
-2895.0,-0.0031745544945971714,-0.002472248700832287,-0.003221331501125119,-0.003433615529670475,-0.003075449884558397
-2885.0,-0.00310637876164907,-0.0024996435752133155,-0.003046799340051851,-0.0034493050872645026,-0.003025545294874599
-2875.0,-0.003140946023916742,-0.0024394084832548525,-0.002966553335174902,-0.0035085434433706564,-0.0030138795832728325
-2865.0,-0.0031785842104002883,-0.002525907591474972,-0.002914100863797989,-0.0035586750108023367,-0.003044334405110781
-2855.0,-0.0031879987256232555,-0.002418635743647724,-0.00280587154740788,-0.003424242324512181,-0.002959205790934239
-2845.0,-0.003309174282928015,-0.0024104881355258945,-0.0027327045329941105,-0.0034061154115946784,-0.0029646417814792004
-2835.0,-0.00356719448988259,-0.00244785798811172,-0.0028460542785468056,-0.00339931166249975,-0.0030651271501029365
-2825.0,-0.003475788830425535,-0.0024165290630711483,-0.00289434301307639,-0.0034398917592026947,-0.0030566597980894034
-2815.0,-0.003523925649875217,-0.002417928637303428,-0.002715901982868057,-0.0034406993551590963,-0.0030246385840712355
-2805.0,-0.003766776588147934,-0.002390150783064,-0.0027047085533933543,-0.003587606665461589,-0.0031123411042471493
-2795.0,-0.003749946775651377,-0.002398190110842842,-0.002770909008664615,-0.0037546842327232147,-0.0031684640132328304
-2785.0,-0.004156180677264533,-0.0023418792555846444,-0.002684483905233652,-0.003704928084955689,-0.00322190619105781
-2775.0,-0.004189409768918487,-0.002480958576554935,-0.0026209472511646743,-0.003694431089070393,-0.0032464741698774147
-2765.0,-0.004109214694948578,-0.0024621759057529796,-0.00271453385451527,-0.0037393866405741293,-0.003256363789092712
-2755.0,-0.004063373106001663,-0.00256986543562196,-0.002701730964739169,-0.003806190381978132,-0.003285324990782158
-2745.0,-0.003951271603713554,-0.0025394485311464217,-0.002716461908006193,-0.0038142167938445635,-0.0032553835364537713
-2735.0,-0.0033866658697620533,-0.0024839762481758372,-0.0027340378315128464,-0.0037404576433620017,-0.003086310131602568
-2725.0,-0.0034495260584233604,-0.002381309400693138,-0.002667744407663889,-0.0036977741384640384,-0.0030491167841383633
-2715.0,-0.003710615969449414,-0.0024831107783072227,-0.0027731492680321884,-0.0036878938415152713,-0.003163721340286619
-2705.0,-0.003761503829357756,-0.002625040702463185,-0.0028167182739143094,-0.003549714806886957,-0.0031882696021049758
-2695.0,-0.0035253322052514378,-0.002670925616391181,-0.002741469219278186,-0.0034716202447508024,-0.0031023581800960483
-2685.0,-0.0032860814639649187,-0.0025738969303793174,-0.0026899622154102163,-0.003425551628650449,-0.0029938925745355387
-2675.0,-0.003337433571318912,-0.002547917551106774,-0.002698498960623105,-0.0033799187736391536,-0.002990962041311594
-2665.0,-0.0033132954268313254,-0.0024834357734130103,-0.00273714531249907,-0.003356165714821892,-0.002972530086735177
-2655.0,-0.003612498506606887,-0.0023690957409778996,-0.0029152063390463613,-0.0034420862413596285,-0.003084745569113777
-2645.0,-0.0036423198521089006,-0.0024303849269706333,-0.0029811675012872342,-0.0034590615248311037,-0.003128256228958236
-2635.0,-0.00408124962724869,-0.0025697464211658395,-0.0030979837091680597,-0.0035857797324573442,-0.003333716821601877
-2625.0,-0.004048443088816122,-0.002610344256622374,-0.003313405697606325,-0.0035431617818006064,-0.003378861187676235
-2615.0,-0.0038428440547883056,-0.002564278122839012,-0.003218968254295444,-0.0035695030977238016,-0.003298920341499032
-2605.0,-0.003673879369339807,-0.0025948680061899042,-0.003168452241304697,-0.0035976430600529715,-0.003258730998684587
-2595.0,-0.0035871258045647304,-0.002513928092282356,-0.0032199354451812314,-0.003691417106410089,-0.0032531224332582173
-2585.0,-0.003961677995266998,-0.002600667179897801,-0.0032517683802688723,-0.0037201304913177875,-0.0033835856702974297
-2575.0,-0.004046728565668345,-0.0025882453935108978,-0.003219224601030703,-0.0037600207640624676,-0.0034035817798918374
-2565.0,-0.003934019803189949,-0.0024968968942355634,-0.0033021360896758594,-0.003659654337594394,-0.003348200971624646
-2555.0,-0.0036733582145744115,-0.0027451616669790214,-0.0032462470128941587,-0.0035558496861254267,-0.003305170829771777
