Position,Group_1,Group_2,Group_All
-2995.0,-0.00022389147490759644,-0.004965270812328936,-0.002595767081421523
-2985.0,-0.00014756699848031085,-0.005007923107725423,-0.0025789607499786165
-2975.0,-0.00039608343893121346,-0.005327857582555407,-0.0028632040710593744
-2965.0,-0.00014379347999515907,-0.005497482218065488,-0.0028219769407607067
-2955.0,-0.0008829299115927893,-0.005206156202257898,-0.003045624404171633
-2945.0,-0.0013797319364892099,-0.004999917115519747,-0.0031907300250487583
-2935.0,-0.0016294997673638816,-0.005024458772966136,-0.003327828434498576
-2925.0,-0.0016384201632206384,-0.004839965593047964,-0.0032399936648851335
-2915.0,-0.0022030814498037185,-0.004695665159586679,-0.0034499967623514726
-2905.0,-0.0022664648954761305,-0.004184882462670703,-0.0032261535233873723
-2895.0,-0.002253154880184177,-0.004769184229539678,-0.003511798876860266
-2885.0,-0.0021896022698692156,-0.0047864474563542895,-0.0034886743991764065
-2875.0,-0.002733133905697089,-0.004314462540960812,-0.0035241937532527285
-2865.0,-0.0023656430160496835,-0.0038667075809356902,-0.0031165507523608425
-2855.0,-0.0020578657551233483,-0.003705450149954413,-0.0028820700546886634
-2845.0,-0.0020145581167855526,-0.003279710140700627,-0.002647450574972183
-2835.0,-0.0018626176829308711,-0.003132402544085926,-0.002497827718526196
-2825.0,-0.0013231563257554931,-0.003361068391270237,-0.0023426220913956852
-2815.0,-0.001350314299923701,-0.003458800157000587,-0.0024050846136189916
-2805.0,-0.0012649396038079623,-0.003878850501162378,-0.002572548857111822
-2795.0,-0.0009221816185306086,-0.003929653542903907,-0.0024266698248204027
-2785.0,-0.0012220594825351158,-0.003789053577069717,-0.002506198599360829
-2775.0,-0.0016179992421862302,-0.00389649996742628,-0.002757819514942633
-2765.0,-0.0013052221947691396,-0.0037303548111052806,-0.0025183950893845177
-2755.0,-0.001047709947337748,-0.003772848861255261,-0.0024109610298377543
-2745.0,-0.001097450172479827,-0.004054132004371786,-0.0025765306286538933
-2735.0,-0.0008863498507977325,-0.004014137632389611,-0.002451026079708127
-2725.0,-0.00033703942194793,-0.003676776316431642,-0.0020077432210893567
-2715.0,-0.00048463760265674737,-0.003873665749285283,-0.0021799993568481107
-2705.0,-0.00039918889471393144,-0.003835834196410724,-0.002118371136683312
-2695.0,-0.0007682890914645748,-0.003883593566939817,-0.002326720544928928
-2685.0,-0.0007759036994608246,-0.003955024083888566,-0.0023662590693596447
-2675.0,-0.00041591745043638163,-0.003984761666951817,-0.00220123221607692
-2665.0,-0.0007671018284760955,-0.004434044833468215,-0.0026014905253205775
-2655.0,-0.0012535810688525208,-0.004773457211023196,-0.0030143995491780217
-2645.0,-0.0013575408236925165,-0.004626116662209097,-0.002992646295686804
