Position,Group_1,Group_2,Group_3,Group_4,Group_All
-2995.0,-0.002486815616817682,-0.0027071727011246057,-0.0030523589738986464,-0.0037022952922922906,-0.00298716643644731
-2985.0,-0.0026428576106455556,-0.00256761523382953,-0.0030157275430794397,-0.003642444683688389,-0.0029671707297118104
-2975.0,-0.002619695466422767,-0.002689704842509597,-0.003111646620933447,-0.003344993439141204,-0.0029415122939210553
-2965.0,-0.0024535632304567216,-0.0027467729170472864,-0.0029572369233184835,-0.003209765855465268,-0.002841834183225112
-2955.0,-0.0022817882288952204,-0.0027231347886718673,-0.0028008087609018456,-0.0032839681960857,-0.0027724255572456487
-2945.0,-0.00218648047011267,-0.0027288796896290136,-0.0029009175898548115,-0.0034504458943071387,-0.002816681007070761
-2935.0,-0.0023040975687055754,-0.0027940059137740057,-0.002884356875175188,-0.0034990554375735803,-0.002870380630887981
-2925.0,-0.002555039697222226,-0.002711919839015285,-0.002819355377057991,-0.003565169174236789,-0.002912878960278169
-2915.0,-0.002897608745494928,-0.002559980706570359,-0.00282799062556989,-0.003503843832590679,-0.0029473696385426875
-2905.0,-0.003231029345119594,-0.002555494743962362,-0.002899579487076582,-0.0034869108162905484,-0.0030432706206217123
-2895.0,-0.0035969924076331154,-0.0026027038655790525,-0.002900322814727896,-0.0033414216018837254,-0.0031103795204277113
-2885.0,-0.0034839173183369653,-0.0026212236652131743,-0.002909789892384605,-0.0034296376205728606,-0.003111160759773924
-2875.0,-0.003420086257705335,-0.0024210331406549403,-0.0028954881436974987,-0.0035210724278950385,-0.003064441891412574
-2865.0,-0.0033129546987375616,-0.0026403160929205052,-0.0029372995516253214,-0.0037200504940864978,-0.0031526748269295243
-2855.0,-0.0033453515549469355,-0.0027228120343237056,-0.0029823167710398713,-0.0036972705573861675,-0.003186955757856086
-2845.0,-0.0033926105918201622,-0.0027511930930292244,-0.0029278319891400725,-0.0036846981352156465,-0.003189102300142502
-2835.0,-0.0036432255132341817,-0.002764023156850671,-0.0030476587709467907,-0.00347422286532161,-0.003232300177365403
-2825.0,-0.003610065517768098,-0.002684408109470498,-0.0032896181291304245,-0.003580081331948672,-0.0032910596644961363
