Position,Group_0,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_All
-2995.0,0.0005572878952500672,-0.0003196069141088347,-0.0020683169043527296,-0.0011273611285447355,-0.0008821289574321964,-0.0015710314915197592,-0.0005819985399495792,-0.0014001750041462097,-0.002078254518493279,-0.002744780415352692,-0.003087719183135012,-0.001506778095442197
-2985.0,0.0006676677231544206,-0.00014900594127408568,-0.0022265608026544328,-0.0008160344579374774,-0.0008324387442966245,-0.0013602765946591146,-0.0009974328366207923,-0.0017635793833240994,-0.0019448495753270581,-0.0028252720388943,-0.0031050768251635287,-0.0015181097280017027
-2975.0,0.0005052023168364428,-0.00018219079411454966,-0.0020687494246510257,-0.0008204905862743367,-0.0012198605737537122,-0.0011551372777190176,-0.001295181275707534,-0.0015626018373831652,-0.002092268051138612,-0.0028882023738357517,-0.003036567205235307,-0.001553162819013662
-2965.0,0.0011784240069151533,-7.025005209841831e-05,-0.00203266906731275,-0.0007064194979269878,-0.0007140746923806045,-0.0012028128750151655,-0.0012778168328609358,-0.001484754909186103,-0.0027000073662692167,-0.003243995951149284,-0.0033658066265385054,-0.001574016473255041
-2955.0,0.001139473612819592,-3.534118945018264e-05,-0.0017028945624231904,-0.00044709051006194925,-0.0006715948349438273,-0.0012046968655996207,-0.0014445227859147503,-0.0013427480794026237,-0.002561028338400146,-0.002895301308869654,-0.003460607169375765,-0.0014761206007192673
-2945.0,0.0005188823120027867,-0.00020590646415457497,-0.0013352720780643354,-0.0005285944974907298,-0.0006464515513908614,-0.0017239538919795495,-0.0014609622510112065,-0.0014171809259598924,-0.0030825863553398556,-0.002766008253082012,-0.0028625039406682874,-0.001524861309876765
-2935.0,0.0003279572114639727,-0.0002968298144841939,-0.0014927745550601113,-0.0005037447158992535,-0.0006968102012200167,-0.002311170102988381,-0.001478853141353513,-0.0015844366631412865,-0.0031078662500213907,-0.002284404740812453,-0.0025945764798113386,-0.0015629451484099198
-2925.0,0.00033817137633808587,-0.0006630472050163195,-0.001429299453743155,-0.0004885428236815867,-0.0005304514800144914,-0.0027157002055677878,-0.001276201624410352,-0.002266893187165257,-0.0034197545050401877,-0.0022078678603347484,-0.0026320506333500555,-0.0016853183508332632
-2915.0,-0.0003100200804300301,-0.0009605026033368876,-0.0014645337658976383,-0.0007757041118759289,-0.0005946111900668193,-0.0025407682357708704,-0.001293667254688072,-0.0021539504099957313,-0.0032764218007196024,-0.0019916840545080145,-0.002847843857606495,-0.001735455075346117
-2905.0,-6.0027596461657666e-05,-0.0007491446662756991,-0.001962068959119834,-0.0005990029941436918,-0.0010987891761018974,-0.002355506372481515,-0.001624005640630848,-0.0020915620450921765,-0.003000443116888469,-0.0023958011676591296,-0.0029612404791900626,-0.0018164331741570517
-2895.0,0.0003610710511360894,-0.0007160712761094754,-0.002095482009498544,-0.0007921140366483714,-0.0011002741982026958,-0.0021400876720874084,-0.0019231511375262084,-0.0022548684099638395,-0.0029111236068333985,-0.003002014355401361,-0.0030407057746373264,-0.001910250471018352
-2885.0,0.0007761770734263483,-0.0008757850208125736,-0.0013622572849917853,-0.0007278443136646782,-0.0011830287632089065,-0.002324282622633589,-0.0018580417500029933,-0.0021817007264351073,-0.002905801379307834,-0.0038646545139180795,-0.0033239205182183473,-0.00195546810876978
-2875.0,0.0009543588943377187,-0.0010740648398865078,-0.0011515199546405677,-0.0009250189362391798,-0.0011477733852581931,-0.0024322752853623304,-0.001462310686696283,-0.0020201613191360795,-0.002695374763765852,-0.0038956503933002193,-0.0033636686179549036,-0.0019061998417287647
-2865.0,0.0017055161640758833,-0.0007894112267403963,-0.001273164196592086,-0.0007441954432935375,-0.001055215181112485,-0.0025857751521212655,-0.0011847628733138095,-0.002240629123877815,-0.002717881689631976,-0.004336975848680261,-0.002982767719592216,-0.0018533203434739857
-2855.0,0.0017658430696240125,-0.0007502276327660701,-0.001031537730219229,-0.0012602466419505303,-0.0006412475276742038,-0.0022948429167467805,-0.000820185854837905,-0.0028061377287247106,-0.002976646340303994,-0.004447461059986337,-0.002915200865802403,-0.0018543419674141052
-2845.0,0.0020884656908824856,-0.0006997328019606724,-0.0007345640475311114,-0.001117321661341577,-0.0010392922472813703,-0.0018774954694294492,-0.000447753761908849,-0.003070602054189735,-0.0028872522596194365,-0.0038550080552384926,-0.003648174477187136,-0.0017875545077668652
-2835.0,0.0023051074259670297,-0.00036357236465422494,-0.0006190963568354928,-0.0006466529176444948,-0.0008010752877602654,-0.0017243626153027292,-0.00036283260652278,-0.003203756320845271,-0.0029530862992381075,-0.003584655525781401,-0.003851707910178678,-0.0016577868509150711
-2825.0,0.0022945301723461243,-2.2080419696695192e-05,-0.0005112150235029677,-0.0007765185669903285,-0.0007319198477013223,-0.0015909756774454156,-0.0005502510419226643,-0.0034642267005229556,-0.0028277492651029358,-0.003984144958486363,-0.004122094188816178,-0.0017040201586038166
-2815.0,0.002211592223278341,0.00015265248479604676,-9.474249220731062e-05,-0.0009040619793020484,-0.0009897325553192352,-0.0011126873544944256,-0.0007816337815466605,-0.0036168035596987756,-0.0027800708225665257,-0.004161729079563545,-0.004460125009526272,-0.0017236078365133684
-2805.0,0.0018949943559250185,-0.00018224290275293447,-1.8964779671006624e-05,-0.0011550461425920617,-0.0012641561245238968,-0.0009457149834295579,-0.0011562799769935632,-0.0031693186694709335,-0.0026853994537124784,-0.0046581699840655055,-0.004362752501486567,-0.0018170175755123493
-2795.0,0.0012522543305936709,-0.0004983279481190862,0.00016335669616242775,-0.0012962903729758744,-0.0013273682836409772,-0.0012367265641110075,-0.0012525356341071422,-0.002826341238967343,-0.0027219402603877543,-0.005097274971381294,-0.003626976464153681,-0.0018527676868346815
-2785.0,0.0008460220158813891,-0.0005608743696629238,-4.845225691368837e-05,-0.0015930354988343593,-0.0016555822747142256,-0.0012311553255282333,-0.0011722299091101575,-0.002345552645600043,-0.0030010857621165185,-0.0050824459702025464,-0.0034684512130831093,-0.0019101817614659332
-2775.0,0.000656870667020477,-0.0005340653158688711,-1.963133412801501e-05,-0.0014113979242355791,-0.0014030049234528077,-0.001358984922147877,-0.0012587406620111418,-0.0023067769290870377,-0.0032196430919649633,-0.005173211504835968,-0.0031960757277604557,-0.0018906963519149092
-2765.0,0.0008855277931614718,-0.0006488583805622254,-0.0002454055063559295,-0.0014947344767778006,-0.001504051024866674,-0.0013572986745699525,-0.0014555874236531355,-0.002367294760541411,-0.00296070546154698,-0.004652981384270362,-0.0026811107251831926,-0.0018322911646971177
-2755.0,0.0014046430644929463,-0.0005237001192458368,-0.00014666790383410027,-0.0009526628268903816,-0.0014960271098072232,-0.0019855175945378035,-0.0015840767845529857,-0.002243395741078573,-0.003236057224451124,-0.00432328944504291,-0.002499919415989275,-0.001776571493954722
-2745.0,0.0018877965050056735,-4.3163297613983506e-05,-6.078089876666266e-05,-0.0006923395372007134,-0.0014998897535899623,-0.00222476999229437,-0.0015618523694505492,-0.0018011520044862621,-0.0031909829048022646,-0.004218644821188299,-0.0026726871622110653,-0.0016601962932749357
-2735.0,0.0020224443348669757,-0.00023289248377462952,-0.0003286173808191961,-0.0010246512839113223,-0.0018721800879429027,-0.0021423704529920963,-0.0018725162754509744,-0.002065958522483399,-0.0028989193170598396,-0.003980580611509124,-0.002516562654229363,-0.001748085521709355
-2725.0,0.0015940317772433939,-0.0005811799728767438,-0.0003249614082212775,-0.0012471090623449503,-0.00231482875397916,-0.0015745802740996153,-0.0022030786588650266,-0.002113345942166561,-0.002453162960135821,-0.0036740183292808216,-0.0029295120029018515,-0.0018100731593337865
-2715.0,0.0012980620379403134,-0.0010009862904753145,-0.0007050893885924891,-0.0012555272044471723,-0.00257774468953764,-0.0015699664436143752,-0.002413202039283993,-0.0021977974027570257,-0.002233861846949285,-0.0038933314036794157,-0.0030398427098454065,-0.0019624214774859347
-2705.0,0.0014786182018904092,-0.0007231678025902201,-0.0011187982995269764,-0.001407283047338566,-0.002397534226091246,-0.001472679574124593,-0.0022976951344849342,-0.00253021413048827,-0.002108265668590425,-0.0035941714302201444,-0.00278274671539164,-0.0019119680566449693
-2695.0,0.001516047039804261,0.00017721272248358047,-0.0010934552701500322,-0.001851815721667373,-0.002230651840238157,-0.0014156891556463829,-0.0022270778971965857,-0.00289171812147466,-0.0021270306294930968,-0.0033442448227391794,-0.0028176120934580496,-0.0018528600528660913
-2685.0,0.001956169343997553,0.000648792572396835,-0.000744902284754825,-0.0017457113324330226,-0.001758942280968598,-0.0013323226000496761,-0.002265668697803294,-0.003074427173323925,-0.0023568720759258076,-0.003895387889923792,-0.002526899520536234,-0.0017628044703195313
-2675.0,0.0026624995821628657,0.0006286878949584925,-0.0008335629716588478,-0.0015713875380935008,-0.0018320340547926417,-0.0017917862024887025,-0.002082879148282247,-0.002645202987527991,-0.0025654092123855504,-0.004457780250203867,-0.002320785808172147,-0.0017765374862635651
-2665.0,0.00241867516122021,0.0010243884863341964,-0.0005660873620939842,-0.0011713068464613353,-0.001325905823620098,-0.002097244933568328,-0.0019619395548766457,-0.0029670291273267567,-0.002820327200825742,-0.004718350976329012,-0.0023305492999550086,-0.0017345986722949673
-2655.0,0.0019828229253612984,0.0010088126332762196,-0.0003906692581198741,-0.0011845110786207523,-0.0016001458891590397,-0.002358203425364161,-0.0021730994882965984,-0.0029675254905284386,-0.0033719535453898986,-0.004521584319143512,-0.002994244590754805,-0.0019071298313159475
-2645.0,0.0016410905577454024,0.0005143223807439092,-0.0006859837714788767,-0.0008540596273397705,-0.0017770567982360985,-0.0023053411314790722,-0.002423010060002264,-0.003066737708745662,-0.0034514065488101585,-0.0041957129990417355,-0.0035291488151073373,-0.0020370117407938195
-2635.0,0.0013396055382269708,4.825411790136768e-05,-0.0005788245363129054,-0.0013304711896514156,-0.0019484362947775854,-0.0027076949492645624,-0.002094172780587214,-0.0025018141216771915,-0.0031591707532889926,-0.003052092680296136,-0.003814506452026526,-0.001986658899851025
-2625.0,0.0012904834850023471,0.0005021921412874857,-0.00033221884361983405,-0.0012537096302658753,-0.0021099447430174036,-0.0024650301872778994,-0.0020994575656254973,-0.002746776758981554,-0.003377217595443432,-0.0019428879786751892,-0.003529354162441201,-0.0018170280836328555
-2615.0,0.0011932180362789857,0.0006746469268710977,-0.0002515394134490521,-0.0009810358457719955,-0.0023035634966270535,-0.002741925857119178,-0.002125604714554471,-0.0019683479935007895,-0.003391259764325497,-0.001546962126733896,-0.0037584083145997225,-0.0017284218807801914
